"n";"anno";"genere";"eta";"peso";"altezza";"dipsci";"dipcla";"diptec";"dipalt";"componenti";"occhiali";"fumo";"diploma"
375;1988;1;19,30;47,00;152;1;0;0;0;5;0;0;"     sci"
376;1988;1;19,20;60,00;160;0;0;1;0;5;0;1;"     tec"
377;1988;1;21,10;47,00;157;0;1;0;0;4;1;0;"     cla"
378;1988;1;20,30;61,00;168;0;0;1;0;6;0;0;"     tec"
379;1988;1;19,10;55,00;165;1;0;0;0;5;1;1;"     sci"
380;1988;1;21,80;55,00;160;0;1;0;0;4;0;0;"     cla"
381;1988;1;20,60;50,00;162;0;1;0;0;6;1;0;"     cla"
382;1988;1;20,20;48,00;162;0;1;0;0;5;1;0;"     cla"
383;1988;1;22,40;70,00;169;0;1;0;0;6;0;1;"     cla"
384;1988;1;19,80;67,00;164;1;0;0;0;4;1;1;"     sci"
385;1988;1;28,90;50,00;160;0;0;1;0;6;1;0;"     tec"
386;1988;1;20,90;55,00;164;1;0;0;0;7;0;0;"     sci"
387;1988;1;21,60;69,00;167;0;1;0;0;6;0;0;"     cla"
388;1988;1;20,10;53,00;165;1;0;0;0;4;0;0;"     sci"
389;1988;1;21,80;71,00;168;0;0;1;0;5;1;1;"     tec"
390;1988;1;19,10;84,00;176;0;1;0;0;5;1;0;"     cla"
391;1988;1;23,80;58,00;160;0;1;0;0;5;0;1;"     cla"
392;1988;1;19,20;52,00;157;0;0;1;0;5;0;0;"     tec"
393;1988;1;21,00;54,00;165;0;0;1;0;5;0;0;"     tec"
394;1988;1;24,00;56,00;166;0;0;1;0;7;0;0;"     tec"
395;1988;1;21,40;50,00;167;0;1;0;0;4;1;0;"     cla"
396;1988;1;20,80;51,00;159;0;1;0;0;5;1;0;"     cla"
397;1988;1;20,70;55,00;162;1;0;0;0;5;1;0;"     sci"
398;1988;1;19,80;50,00;167;0;0;0;1;4;0;0;"     alt"
399;1988;1;19,30;50,00;165;0;0;0;1;6;0;0;"     alt"
400;1988;1;20,80;54,00;164;0;0;1;0;5;1;0;"     tec"
401;1988;1;19,60;51,00;158;0;1;0;0;3;1;0;"     cla"
402;1988;1;24,70;52,00;168;0;1;0;0;4;0;0;"     cla"
403;1988;1;22,20;60,00;158;1;0;0;0;2;1;0;"     sci"
404;1988;1;23,40;60,00;174;0;1;0;0;5;0;0;"     cla"
405;1988;1;20,80;57,00;165;1;0;0;0;4;0;1;"     sci"
406;1988;1;19,70;50,00;160;0;1;0;0;5;1;0;"     cla"
407;1988;1;20,70;67,00;167;0;0;1;0;4;1;0;"     tec"
408;1988;1;19,20;53,00;169;0;1;0;0;5;0;0;"     cla"
409;1988;1;20,60;59,00;164;1;0;0;0;4;0;0;"     sci"
410;1988;1;19,50;70,00;171;0;1;0;0;4;0;1;"     cla"
411;1988;1;20,40;60,00;165;0;1;0;0;4;0;0;"     cla"
412;1988;1;22,00;58,00;168;0;0;1;0;3;0;1;"     tec"
413;1988;1;23,00;60,00;163;0;0;1;0;5;1;0;"     tec"
414;1988;1;31,70;58,00;160;0;0;1;0;3;0;0;"     tec"
415;1988;1;20,20;57,00;160;0;1;0;0;5;1;0;"     cla"
416;1988;1;23,00;65,00;174;0;1;0;0;3;1;0;"     cla"
417;1988;1;19,40;60,00;163;0;1;0;0;4;0;0;"     cla"
418;1988;1;20,70;58,00;175;0;0;0;1;4;0;0;"     alt"
419;1988;1;19,70;60,00;164;0;1;0;0;3;1;0;"     cla"
420;1988;1;19,30;56,00;172;0;1;0;0;7;1;0;"     cla"
421;1988;1;45,20;55,00;158;0;1;0;0;3;1;0;"     cla"
422;1988;1;19,40;58,00;170;0;1;0;0;4;1;0;"     cla"
423;1988;1;19,80;53,00;168;0;1;0;0;5;1;0;"     cla"
424;1988;1;19,80;53,00;166;0;1;0;0;3;0;0;"     cla"
425;1988;1;19,30;46,00;155;0;0;1;0;4;0;0;"     tec"
426;1988;1;19,20;58,00;174;0;1;0;0;4;1;0;"     cla"
427;1988;1;20,90;60,00;168;1;0;0;0;5;0;0;"     sci"
428;1988;1;20,50;65,00;167;1;0;0;0;4;0;0;"     sci"
429;1988;1;20,70;56,00;167;0;1;0;0;4;1;0;"     cla"
430;1988;1;20,80;55,00;168;0;1;0;0;5;1;0;"     cla"
431;1988;1;19,10;57,00;160;0;0;0;1;3;1;1;"     alt"
432;1988;1;20,80;60,00;165;0;1;0;0;4;0;0;"     cla"
433;1988;1;19,40;49,00;156;0;1;0;0;6;0;0;"     cla"
434;1988;1;25,10;57,00;159;0;1;0;0;2;0;1;"     cla"
435;1988;1;24,40;56,00;164;0;0;1;0;3;1;0;"     tec"
436;1988;1;23,70;45,00;160;0;0;1;0;4;0;0;"     tec"
437;1988;1;21,30;70,00;166;0;0;1;0;5;0;0;"     tec"
438;1988;1;19,30;56,00;162;0;1;0;0;5;1;0;"     cla"
439;1988;1;20,80;58,00;162;0;0;0;1;6;0;1;"     alt"
440;1988;1;19,80;62,00;164;0;1;0;0;5;1;0;"     cla"
441;1988;1;20,90;65,00;162;0;1;0;0;5;0;0;"     cla"
442;1988;1;23,30;64,00;164;0;1;0;0;5;0;0;"     cla"
443;1988;1;21,90;45,00;157;1;0;0;0;5;0;1;"     sci"
444;1988;1;19,30;54,00;165;0;1;0;0;6;1;0;"     cla"
445;1988;1;20,20;59,00;169;0;1;0;0;3;1;0;"     cla"
446;1988;1;21,30;55,00;165;0;0;1;0;4;0;0;"     tec"
447;1988;1;22,20;55,00;155;0;0;1;0;4;1;0;"     tec"
448;1988;1;20,80;52,00;160;0;0;0;1;5;1;0;"     alt"
449;1988;1;20,80;58,00;159;0;0;0;1;5;0;0;"     alt"
450;1988;1;19,20;59,00;167;0;0;0;1;4;0;0;"     alt"
451;1988;1;21,70;63,00;170;0;1;0;0;6;0;0;"     cla"
452;1988;1;21,70;70,00;165;0;1;0;0;3;1;0;"     cla"
453;1988;1;19,80;58,00;158;0;1;0;0;6;0;0;"     cla"
454;1988;1;22,00;49,00;167;0;1;0;0;3;0;0;"     cla"
455;1988;1;20,90;50,00;156;1;0;0;0;3;1;0;"     sci"
456;1988;1;31,00;55,00;148;0;1;0;0;2;1;0;"     cla"
457;1988;1;20,70;65,00;170;0;0;0;1;4;0;1;"     alt"
458;1988;1;20,30;49,00;163;1;0;0;0;5;1;0;"     sci"
459;1988;1;20,60;47,00;162;0;1;0;0;4;0;0;"     cla"
460;1988;1;21,20;50,00;158;0;0;1;0;6;0;0;"     tec"
461;1988;1;19,60;58,00;168;0;1;0;0;4;0;0;"     cla"
462;1988;1;22,20;65,00;168;1;0;0;0;5;0;0;"     sci"
463;1988;1;19,30;46,00;160;1;0;0;0;5;1;0;"     sci"
464;1988;1;20,70;61,00;173;0;0;0;1;5;1;0;"     alt"
465;1988;1;20,90;63,00;170;0;0;1;0;3;1;0;"     tec"
466;1988;1;19,10;60,00;162;0;0;1;0;7;1;0;"     tec"
467;1988;1;19,20;60,00;165;0;0;1;0;4;1;0;"     tec"
468;1988;1;20,10;63,00;163;1;0;0;0;5;1;0;"     sci"
469;1988;1;19,40;50,00;170;0;1;0;0;6;1;1;"     cla"
470;1988;1;20,80;52,00;163;1;0;0;0;6;1;0;"     sci"
471;1988;1;19,20;48,00;160;0;0;1;0;5;1;0;"     tec"
472;1988;1;20,20;48,00;160;0;1;0;0;5;0;1;"     cla"
473;1988;1;19,20;52,00;165;0;1;0;0;4;0;1;"     cla"
474;1988;1;21,00;53,00;162;0;0;0;1;4;0;0;"     alt"
475;1988;1;20,80;48,00;163;0;0;1;0;4;1;0;"     tec"
476;1988;1;20,90;56,00;165;0;0;1;0;3;1;1;"     tec"
477;1989;1;21,20;55,00;161;0;1;0;0;2;1;1;"     cla"
478;1989;1;20,20;65,00;177;0;1;0;0;4;0;1;"     cla"
479;1989;0;20,40;73,00;175;0;1;0;0;3;0;1;"     cla"
480;1989;1;19,20;65,00;170;0;0;1;0;5;1;1;"     tec"
481;1989;1;28,00;53,00;162;0;0;0;1;5;0;1;"     alt"
482;1989;1;21,60;73,00;175;0;0;1;0;5;0;0;"     tec"
483;1989;0;20,40;80,00;185;1;0;0;0;5;0;1;"     sci"
484;1989;1;21,10;52,00;168;0;1;0;0;4;1;1;"     cla"
485;1989;1;20,90;54,00;156;1;0;0;0;5;0;1;"     sci"
486;1989;1;22,60;75,00;168;0;0;1;0;3;1;1;"     tec"
487;1989;1;19,80;65,00;166;0;0;0;1;4;1;1;"     alt"
488;1989;1;19,20;52,00;160;0;1;0;0;4;1;1;"     cla"
489;1989;0;26,40;85,00;180;0;1;0;0;3;1;1;"     cla"
490;1989;1;22,30;60,00;160;0;1;0;0;4;1;1;"     cla"
491;1989;0;20,40;75,00;175;0;0;1;0;8;0;1;"     tec"
492;1989;0;20,90;77,00;178;1;0;0;0;3;0;1;"     sci"
493;1989;1;20,80;60,00;167;1;0;0;0;4;0;1;"     sci"
494;1989;1;20,60;59,00;165;0;1;0;0;4;1;1;"     cla"
495;1989;1;20,60;57,00;160;0;0;0;1;3;0;1;"     alt"
496;1989;1;19,70;50,00;163;0;0;0;1;4;0;1;"     alt"
497;1989;1;26,00;68,00;165;0;1;0;0;4;0;1;"     cla"
498;1989;1;19,40;52,00;166;0;1;0;0;7;0;1;"     cla"
499;1989;1;19,80;55,00;160;0;0;0;1;6;0;1;"     alt"
500;1989;1;22,40;55,00;160;1;0;0;0;3;0;1;"     sci"
501;1989;0;23,40;65,00;168;0;0;1;0;5;1;1;"     tec"
502;1989;1;20,70;56,00;170;0;0;1;0;5;1;1;"     tec"
503;1989;0;21,40;68,00;172;0;0;1;0;3;0;1;"     tec"
504;1989;1;20,60;53,00;169;0;1;0;0;4;0;1;"     cla"
505;1989;0;31,70;74,00;170;0;0;1;0;3;1;1;"     tec"
506;1989;1;22,00;60,00;174;0;0;1;0;3;1;1;"     tec"
507;1989;0;19,20;88,00;166;1;0;0;0;6;1;1;"     sci"
508;1989;1;21,10;60,00;165;0;0;1;0;5;1;1;"     tec"
509;1989;1;20,20;60,00;165;0;0;1;0;5;1;1;"     tec"
510;1989;0;25,90;88,00;173;1;0;0;0;5;1;1;"     sci"
511;1989;0;19,20;76,00;174;0;1;0;0;7;0;1;"     cla"
512;1989;1;28,90;66,00;169;1;0;0;0;4;0;1;"     sci"
513;1989;1;20,60;51,00;165;0;1;0;0;5;0;1;"     cla"
514;1989;0;19,90;95,00;182;0;1;0;0;6;0;1;"     cla"
515;1989;1;20,60;57,00;170;1;0;0;0;5;0;1;"     sci"
516;1989;1;20,70;60,00;173;0;1;0;0;6;1;1;"     cla"
517;1989;1;24,20;54,00;164;1;0;0;0;5;0;1;"     sci"
518;1989;1;20,50;52,00;160;0;1;0;0;5;0;1;"     cla"
519;1989;0;20,80;67,00;184;0;1;0;0;5;1;1;"     cla"
520;1989;0;21,60;65,00;171;0;0;1;0;5;0;1;"     tec"
521;1989;0;28,30;86,00;178;1;0;0;0;5;1;1;"     sci"
522;1989;1;19,30;59,00;164;0;0;1;0;3;0;1;"     tec"
523;1989;1;22,00;53,00;162;0;1;0;0;4;0;1;"     cla"
524;1989;0;22,10;74,00;180;1;0;0;0;1;0;1;"     sci"
525;1989;0;20,30;80,00;175;0;1;0;0;4;0;1;"     cla"
526;1989;1;20,30;55,00;165;0;0;0;1;5;0;1;"     alt"
527;1989;1;19,10;47,00;160;0;1;0;0;8;0;1;"     cla"
528;1989;1;20,20;65,00;166;0;1;0;0;5;0;1;"     cla"
529;1989;1;20,10;61,00;156;0;1;0;0;5;1;1;"     cla"
530;1989;1;19,10;45,00;155;0;1;0;0;3;1;1;"     cla"
531;1989;1;20,80;55,00;162;0;1;0;0;5;0;1;"     cla"
532;1989;1;19,80;50,00;160;0;1;0;0;4;0;1;"     cla"
533;1989;1;21,70;70,00;162;0;0;1;0;5;0;1;"     tec"
534;1989;0;22,00;85,00;180;0;0;1;0;5;1;1;"     tec"
535;1989;0;32,50;68,00;172;0;1;0;0;3;0;1;"     cla"
536;1989;1;20,60;57,00;168;0;0;0;1;4;1;1;"     alt"
537;1989;0;20,30;67,00;171;0;0;0;1;4;0;1;"     alt"
538;1989;1;20,00;53,00;163;1;0;0;0;5;0;1;"     sci"
539;1989;0;22,50;64,00;170;0;1;0;0;4;1;1;"     cla"
540;1989;1;21,00;58,00;170;0;0;0;1;6;0;1;"     alt"
541;1989;1;20,50;49,00;160;0;1;0;0;5;1;1;"     cla"
542;1989;1;19,20;54,00;169;0;1;0;0;5;0;1;"     cla"
543;1989;1;23,20;64,00;170;0;1;0;0;6;1;1;"     cla"
544;1989;1;19,30;50,00;157;0;0;0;1;5;1;0;"     alt"
545;1989;1;19,30;58,00;168;0;0;1;0;3;1;0;"     tec"
546;1989;1;20,90;52,00;158;0;1;0;0;2;0;0;"     cla"
547;1989;0;23,90;65,00;173;0;1;0;0;4;1;0;"     cla"
548;1989;1;19,20;72,00;172;0;0;1;0;6;1;0;"     tec"
549;1989;0;20,10;80,00;180;0;1;0;0;4;0;0;"     cla"
550;1989;1;21,20;55,00;160;0;0;1;0;4;0;0;"     tec"
551;1989;1;20,10;57,00;165;0;0;1;0;5;1;0;"     tec"
552;1989;1;22,40;62,00;168;0;0;0;1;7;1;0;"     alt"
553;1989;1;20,10;60,00;166;1;0;0;0;3;0;0;"     sci"
554;1989;1;21,00;59,00;167;1;0;0;0;7;1;0;"     sci"
555;1989;0;19,30;70,00;175;0;0;1;0;5;1;0;"     tec"
556;1989;1;21,40;49,00;156;0;1;0;0;6;0;0;"     cla"
557;1989;0;22,70;70,00;170;0;0;1;0;5;1;0;"     tec"
558;1989;1;23,30;58,00;165;0;0;0;1;5;0;0;"     alt"
559;1989;0;20,50;70,00;182;0;0;1;0;5;0;0;"     tec"
560;1989;1;19,30;54,00;170;0;1;0;0;5;1;0;"     cla"
561;1989;1;20,70;50,00;165;0;1;0;0;6;1;0;"     cla"
562;1989;1;20,20;48,00;163;0;1;0;0;5;1;0;"     cla"
563;1989;0;41,10;61,00;155;0;0;1;0;5;1;0;"     tec"
564;1989;1;25,50;50,00;160;0;0;0;1;4;1;0;"     alt"
565;1989;1;20,60;53,00;157;0;0;1;0;5;1;0;"     tec"
566;1989;1;19,70;56,00;168;0;1;0;0;4;1;0;"     cla"
567;1989;1;19,70;54,00;162;0;0;1;0;3;1;0;"     tec"
568;1989;1;20,20;57,00;160;0;1;0;0;3;1;0;"     cla"
569;1989;1;21,70;47,00;160;1;0;0;0;5;0;0;"     sci"
570;1989;1;19,40;50,00;167;0;0;1;0;4;0;0;"     tec"
571;1989;1;20,60;63,00;175;0;1;0;0;6;1;0;"     cla"
572;1989;1;24,40;53,00;174;1;0;0;0;4;1;0;"     sci"
573;1989;1;20,50;68,00;167;0;1;0;0;4;1;1;"     cla"
574;1989;1;20,90;67,00;165;0;1;0;0;4;1;0;"     cla"
575;1989;1;22,80;50,00;165;0;1;0;0;4;0;0;"     cla"
576;1989;0;19,40;65,00;176;0;1;0;0;5;0;0;"     cla"
577;1989;1;23,20;58,00;168;0;0;1;0;3;0;0;"     tec"
578;1989;1;23,20;54,00;168;0;0;1;0;3;0;0;"     tec"
579;1989;1;20,90;58,00;158;0;0;1;0;5;1;0;"     tec"
580;1989;1;19,70;57,00;159;0;1;0;0;4;1;0;"     cla"
581;1989;0;20,50;68,50;175;0;0;1;0;5;0;0;"     tec"
582;1989;0;20,70;78,00;187;1;0;0;0;7;0;0;"     sci"
583;1989;1;20,10;53,00;157;1;0;0;0;5;1;0;"     sci"
584;1989;1;20,80;52,00;161;1;0;0;0;5;0;0;"     sci"
585;1989;0;24,00;65,00;165;0;0;1;0;2;1;0;"     tec"
586;1989;0;25,10;68,00;170;0;0;1;0;3;1;0;"     tec"
587;1989;0;20,30;80,00;176;1;0;0;0;5;1;0;"     sci"
588;1989;0;20,50;88,00;190;0;1;0;0;4;1;0;"     cla"
589;1989;0;21,80;85,00;181;1;0;0;0;5;0;0;"     sci"
590;1989;1;19,20;64,00;167;0;0;1;0;5;0;0;"     tec"
591;1989;1;20,80;50,00;169;0;1;0;0;4;0;0;"     cla"
592;1989;1;20,70;52,00;160;0;0;1;0;4;0;0;"     tec"
593;1989;1;19,90;46,00;162;0;0;1;0;4;0;0;"     tec"
594;1989;1;24,50;56,00;161;0;1;0;0;4;1;0;"     cla"
595;1989;0;20,50;83,00;180;0;1;0;0;4;0;0;"     cla"
596;1989;1;19,60;56,00;160;0;0;1;0;4;0;0;"     tec"
597;1989;0;21,30;62,00;170;0;0;1;0;4;0;0;"     tec"
598;1989;1;20,90;54,00;161;1;0;0;0;4;1;0;"     sci"
599;1989;1;20,40;55,00;158;1;0;0;0;5;1;0;"     sci"
600;1989;1;21,60;54,00;168;1;0;0;0;4;0;0;"     sci"
601;1989;0;19,50;65,00;168;0;0;0;1;5;0;0;"     alt"
602;1989;1;20,20;47,00;165;0;1;0;0;3;0;0;"     cla"
603;1989;1;20,90;54,00;162;0;0;1;0;4;0;0;"     tec"
604;1989;1;20,50;60,00;160;0;1;0;0;6;0;0;"     cla"
605;1989;1;19,40;51,00;168;0;0;1;0;6;1;0;"     tec"
606;1989;1;21,00;67,00;162;0;0;1;0;4;1;0;"     tec"
607;1989;1;22,00;65,00;169;0;0;1;0;6;0;0;"     tec"
608;1989;0;21,20;71,00;180;0;0;1;0;4;0;0;"     tec"
609;1989;0;20,30;90,00;170;0;1;0;0;5;1;0;"     cla"
610;1989;0;19,60;78,00;175;1;0;0;0;4;0;0;"     sci"
611;1989;0;27,30;75,00;173;1;0;0;0;6;0;0;"     sci"
612;1989;0;27,40;86,00;193;0;1;0;0;6;0;0;"     cla"
613;1989;1;19,40;48,00;162;0;0;1;0;5;1;0;"     tec"
614;1989;1;19,50;60,00;165;1;0;0;0;4;1;0;"     sci"
615;1989;1;21,00;55,00;170;1;0;0;0;5;1;0;"     sci"
616;1989;1;22,00;59,00;164;0;0;1;0;4;1;0;"     tec"
617;1989;1;20,30;50,00;165;1;0;0;0;5;1;0;"     sci"
618;1989;1;19,60;56,20;165;0;1;0;0;6;1;0;"     cla"
619;1989;1;20,60;65,00;174;1;0;0;0;3;1;0;"     sci"
620;1989;1;19,20;64,00;176;0;0;1;0;5;1;0;"     tec"
621;1989;1;21,40;57,00;165;0;0;0;1;5;0;0;"     alt"
622;1989;1;20,40;54,00;165;1;0;0;0;4;1;0;"     sci"
623;1989;1;19,50;66,00;166;1;0;0;0;4;1;0;"     sci"
624;1989;0;20,20;75,00;180;0;0;1;0;6;0;0;"     tec"
625;1989;0;20,90;80,00;175;0;1;0;0;3;1;0;"     cla"
626;1989;1;19,20;57,00;163;0;1;0;0;5;1;0;"     cla"
627;1989;1;21,20;56,00;163;0;1;0;0;4;0;0;"     cla"
628;1989;1;21,50;55,00;155;0;0;0;1;5;1;0;"     alt"
629;1989;0;22,60;70,00;173;0;1;0;0;5;1;0;"     cla"
630;1989;1;20,60;49,00;160;0;1;0;0;4;1;0;"     cla"
631;1989;1;19,20;61,00;169;1;0;0;0;5;0;0;"     sci"
632;1989;0;21,60;75,00;182;0;0;1;0;7;0;0;"     tec"
633;1989;1;19,40;53,00;165;0;1;0;0;4;0;0;"     cla"
634;1989;1;20,90;55,00;157;0;1;0;0;5;0;0;"     cla"
635;1989;1;19,70;50,00;160;0;1;0;0;3;0;0;"     cla"
636;1989;1;20,80;60,00;157;0;1;0;0;4;1;0;"     cla"
637;1989;1;19,10;60,00;165;0;1;0;0;7;0;0;"     cla"
638;1989;0;21,30;55,00;164;0;0;1;0;5;0;0;"     tec"
639;1989;0;19,20;58,00;168;0;0;1;0;5;1;0;"     tec"
640;1989;1;20,30;61,00;163;0;1;0;0;4;0;0;"     cla"
641;1989;0;22,30;77,00;176;1;0;0;0;3;1;0;"     sci"
642;1989;0;23,60;81,00;181;1;0;0;0;4;0;0;"     sci"
643;1989;1;19,70;64,00;173;0;1;0;0;5;0;0;"     cla"
644;1989;1;20,70;55,00;161;0;1;0;0;5;0;0;"     cla"
645;1989;1;20,90;60,00;160;0;1;0;0;4;1;0;"     cla"
646;1989;1;20,80;56,00;160;0;1;0;0;4;1;0;"     cla"
647;1989;1;20,40;46,50;155;0;1;0;0;5;1;0;"     cla"
648;1989;1;21,10;54,00;157;0;0;1;0;5;0;0;"     tec"
649;1989;0;20,30;63,00;169;0;0;1;0;4;1;0;"     tec"
650;1989;1;20,80;52,00;158;0;0;1;0;4;0;0;"     tec"
651;1989;1;20,10;54,00;159;0;0;1;0;5;0;0;"     tec"
652;1989;0;21,90;75,00;175;0;0;1;0;2;0;0;"     tec"
653;1989;0;20,40;80,00;178;1;0;0;0;5;0;0;"     sci"
654;1989;0;21,20;80,00;182;1;0;0;0;4;0;0;"     sci"
655;1989;0;21,80;72,00;170;0;0;1;0;5;1;0;"     tec"
656;1989;1;20,70;55,00;162;0;0;1;0;4;1;0;"     tec"
657;1989;1;25,80;50,00;158;0;1;0;0;6;0;0;"     cla"
658;1989;0;21,80;104,00;181;0;0;1;0;4;0;0;"     tec"
659;1989;1;19,50;57,00;170;0;0;0;1;10;0;0;"     alt"
660;1989;1;19,60;55,00;164;1;0;0;0;4;1;0;"     sci"
661;1989;0;23,60;72,00;177;0;0;1;0;5;1;0;"     tec"
662;1989;1;23,40;55,00;160;0;1;0;0;4;1;0;"     cla"
663;1989;0;21,80;79,00;174;0;0;1;0;3;0;0;"     tec"
664;1989;0;24,20;95,00;182;0;0;1;0;3;1;0;"     tec"
665;1989;1;19,10;56,00;154;1;0;0;0;6;0;0;"     sci"
666;1989;0;23,90;74,00;172;1;0;0;0;5;1;0;"     sci"
667;1989;0;24,60;82,00;186;0;0;1;0;5;0;0;"     tec"
668;1989;0;25,80;71,00;176;0;1;0;0;6;0;0;"     cla"
669;1989;0;21,80;78,00;178;0;1;0;0;4;1;0;"     cla"
670;1989;0;21,80;68,00;169;0;0;1;0;6;0;0;"     tec"
671;1989;1;22,10;55,00;157;1;0;0;0;3;0;0;"     sci"
672;1989;1;21,20;46,00;158;0;0;0;1;7;0;0;"     alt"
673;1989;1;20,00;70,00;167;0;1;0;0;5;0;0;"     cla"
674;1989;1;19,30;48,00;162;0;1;0;0;3;0;0;"     cla"
675;1989;0;19,70;75,00;180;1;0;0;0;5;1;0;"     sci"
676;1989;0;22,70;85,00;176;0;0;1;0;6;1;0;"     tec"
677;1989;0;24,90;63,00;172;0;0;1;0;7;0;0;"     tec"
678;1989;0;24,30;70,00;173;1;0;0;0;1;1;0;"     sci"
679;1989;1;19,70;55,00;150;0;1;0;0;4;0;0;"     cla"
680;1989;1;21,80;55,00;152;0;0;1;0;5;0;0;"     tec"
681;1989;1;20,70;65,00;173;1;0;0;0;4;1;0;"     sci"
682;1989;0;23,50;68,00;174;0;0;1;0;4;0;0;"     tec"
683;1989;0;20,60;84,00;178;0;0;1;0;3;1;0;"     tec"
684;1989;0;20,80;72,00;178;0;0;1;0;3;0;0;"     tec"
685;1989;1;21,20;40,00;150;0;1;0;0;5;0;0;"     cla"
686;1989;1;19,20;50,00;165;0;1;0;0;3;0;0;"     cla"
687;1989;1;21,80;58,00;160;0;1;0;0;5;1;0;"     cla"
688;1989;0;25,70;71,00;178;0;1;0;0;5;0;0;"     cla"
689;1989;0;21,00;85,00;185;0;0;1;0;5;0;0;"     tec"
690;1989;1;19,90;69,00;170;0;1;0;0;5;1;0;"     cla"
691;1989;1;21,50;58,00;162;0;0;1;0;7;1;0;"     tec"
692;1989;1;20,30;60,00;163;0;0;1;0;5;1;0;"     tec"
693;1989;0;20,20;94,00;185;1;0;0;0;4;0;0;"     sci"
694;1989;1;19,70;53,00;160;0;0;1;0;4;0;0;"     tec"
695;1989;1;20,60;54,00;166;0;0;1;0;5;0;0;"     tec"
696;1989;1;21,70;74,00;170;0;0;1;0;5;0;0;"     tec"
697;1989;1;21,90;65,00;160;0;0;1;0;4;1;0;"     tec"
698;1989;1;20,10;66,00;157;1;0;0;0;4;1;0;"     sci"
699;1989;1;23,20;48,00;165;0;0;0;1;4;0;0;"     alt"
700;1989;1;21,50;54,00;163;0;1;0;0;4;0;0;"     cla"
701;1989;0;20,80;75,00;182;0;0;1;0;5;0;0;"     tec"
702;1989;1;19,80;58,00;167;0;1;0;0;4;0;0;"     cla"
703;1989;0;23,20;58,00;172;0;0;1;0;6;0;0;"     tec"
704;1989;0;21,10;72,00;192;1;0;0;0;6;0;0;"     sci"
705;1989;0;24,70;58,00;175;0;0;1;0;6;0;0;"     tec"
706;1989;0;20,60;71,00;174;0;0;1;0;6;1;0;"     tec"
707;1989;0;21,00;70,00;175;1;0;0;0;4;0;0;"     sci"
708;1989;1;19,50;55,00;167;1;0;0;0;5;1;0;"     sci"
709;1989;1;20,60;47,50;156;0;0;1;0;5;1;0;"     tec"
710;1989;0;23,70;82,00;172;0;0;1;0;5;1;0;"     tec"
711;1989;0;25,40;105,00;168;0;1;0;0;3;1;0;"     cla"
712;1989;0;20,30;74,00;174;0;0;1;0;5;1;0;"     tec"
713;1989;0;21,60;74,00;173;0;0;1;0;5;0;0;"     tec"
714;1989;0;24,30;63,00;162;0;0;1;0;5;1;0;"     tec"
715;1989;0;21,00;62,00;172;0;0;1;0;4;0;0;"     tec"
716;1989;0;21,90;70,00;170;0;1;0;0;4;0;0;"     cla"
717;1989;0;22,10;68,00;178;0;1;0;0;6;1;0;"     cla"
718;1989;1;19,80;47,50;160;0;0;0;1;4;1;0;"     alt"
719;1989;1;19,70;58,00;165;0;1;0;0;5;0;0;"     cla"
720;1989;0;19,20;60,00;173;0;1;0;0;5;0;0;"     cla"
721;1989;0;22,60;66,00;172;0;1;0;0;4;0;0;"     cla"
722;1989;1;19,70;54,00;157;1;0;0;0;4;0;0;"     sci"
723;1989;1;20,70;53,00;160;0;0;1;0;5;1;0;"     tec"
724;1989;0;19,40;66,00;170;0;0;1;0;5;0;0;"     tec"
725;1989;1;20,20;55,00;168;0;1;0;0;5;0;0;"     cla"
726;1989;1;21,20;56,00;165;0;0;0;1;5;1;0;"     alt"
727;1989;1;20,40;65,00;168;0;1;0;0;4;0;0;"     cla"
728;1989;1;19,70;58,00;166;0;0;0;1;4;0;0;"     alt"
729;1989;1;21,00;54,00;167;0;0;1;0;6;1;0;"     tec"
730;1989;1;19,30;50,00;162;0;1;0;0;4;1;0;"     cla"
731;1989;1;19,30;54,50;170;1;0;0;0;6;0;0;"     sci"
732;1989;1;19,10;54,00;160;0;0;1;0;4;0;0;"     tec"
733;1989;1;20,60;55,00;163;0;0;1;0;4;0;0;"     tec"
734;1989;1;19,10;55,00;170;0;0;1;0;5;1;0;"     tec"
735;1989;0;21,00;73,00;180;0;1;0;0;4;0;0;"     cla"
736;1989;0;19,70;68,00;177;1;0;0;0;4;1;0;"     sci"
737;1989;0;22,30;72,00;174;1;0;0;0;4;1;0;"     sci"
738;1989;1;19,20;64,00;165;1;0;0;0;3;1;0;"     sci"
739;1989;0;24,60;81,00;180;0;1;0;0;3;0;0;"     cla"
740;1989;1;20,30;49,00;160;0;1;0;0;5;0;0;"     cla"
741;1989;1;19,70;49,00;165;1;0;0;0;4;0;0;"     sci"
742;1989;0;23,60;70,00;175;0;0;1;0;5;0;0;"     tec"
743;1989;1;20,20;51,00;158;0;0;1;0;4;0;0;"     tec"
744;1989;0;27,00;75,00;185;0;1;0;0;5;1;0;"     cla"
745;1989;0;21,10;72,00;180;0;0;1;0;10;0;0;"     tec"
746;1989;0;21,30;67,00;170;0;1;0;0;5;0;0;"     cla"
747;1989;1;20,30;58,00;172;0;1;0;0;5;1;0;"     cla"
748;1989;0;19,80;66,00;166;1;0;0;0;4;1;0;"     sci"
749;1989;0;21,20;78,00;174;0;0;1;0;6;1;0;"     tec"
750;1989;0;19,20;72,00;182;0;1;0;0;7;1;0;"     cla"
