"N";"AltInch";"PesoPounds"
5802;69,16;135,74
5803;66,17;125,39
5804;65,52;120,59
5805;65,51;124,22
5806;67,09;131,64
5807;70,25;130,84
5808;66,23;123,46
5809;68,47;125,32
5810;69,71;135,41
5811;67,91;135,26
5812;66,40;127,95
5813;67,82;117,60
5814;66,18;120,98
5815;67,43;122,28
5816;69,20;120,95
5817;66,10;124,01
5818;65,78;113,80
5819;70,78;145,57
5820;68,58;124,23
5821;68,57;106,27
5822;66,90;114,66
5823;68,24;116,84
5824;70,33;137,31
5825;66,34;121,42
5826;69,51;139,15
5827;68,24;138,31
5828;68,81;128,72
5829;67,46;140,89
5830;68,39;144,12
5831;66,67;128,41
5832;68,80;126,85
5833;69,43;131,17
5834;66,65;125,38
5835;66,85;122,89
5836;68,77;146,05
5837;64,63;113,70
5838;68,71;143,09
5839;68,75;133,47
5840;66,51;113,01
5841;68,37;106,23
5842;62,34;92,08
5843;68,92;129,10
5844;71,68;129,13
5845;66,32;110,17
5846;69,50;131,64
5847;67,40;139,65
5848;67,19;112,42
5849;67,19;135,42
5850;69,88;135,05
5851;67,71;131,93
5852;69,19;123,00
5853;68,43;126,81
5854;71,52;135,14
5855;66,03;124,76
5856;66,75;110,76
5857;67,97;132,68
5858;70,43;148,03
5859;66,97;129,25
5860;64,39;122,56
5861;67,69;128,61
5862;68,06;125,58
5863;69,63;124,30
5864;67,44;116,45
5865;65,89;115,97
5866;69,51;124,66
5867;63,64;117,60
5868;66,78;117,33
5869;67,36;144,54
5870;64,77;146,09
5871;69,18;122,70
5872;66,26;118,78
5873;68,65;121,75
5874;69,14;161,72
5875;68,66;123,24
5876;70,57;132,77
5877;67,54;126,76
5878;68,71;130,72
5879;67,01;120,94
5880;67,36;127,36
5881;68,16;147,87
5882;69,81;141,37
5883;66,73;115,70
5884;65,96;114,22
5885;66,26;125,06
5886;70,12;124,00
5887;66,31;120,26
5888;68,89;124,83
5889;69,22;128,97
5890;71,16;143,59
5891;64,12;134,77
5892;71,17;152,65
5893;66,91;120,00
5894;66,64;118,84
5895;66,52;123,82
5896;70,46;145,13
5897;65,93;122,52
5898;66,70;133,24
5899;64,60;113,25
5900;67,22;124,30
5901;67,76;140,08
5902;65,63;111,93
5903;69,74;135,72
5904;69,74;125,54
5905;66,12;121,39
5906;69,56;134,14
5907;69,47;129,59
5908;69,25;135,85
5909;65,88;116,05
5910;65,85;117,34
5911;69,53;138,89
5912;67,70;119,14
5913;66,31;132,18
5914;65,68;111,70
5915;66,85;142,46
5916;69,07;120,11
5917;66,66;110,53
5918;66,58;127,29
5919;67,70;132,04
5920;68,19;116,32
5921;66,85;117,06
5922;68,99;124,25
5923;68,96;130,34
5924;70,93;137,39
5925;69,53;133,27
5926;66,13;107,21
5927;66,02;110,00
5928;70,24;149,82
5929;67,86;117,90
5930;67,23;126,03
5931;67,50;113,95
5932;71,23;140,20
5933;69,88;151,71
5934;67,85;117,49
5935;69,22;129,28
5936;65,35;120,66
5937;65,52;112,76
5938;70,85;130,03
5939;65,17;111,98
5940;65,35;107,52
5941;64,77;127,55
5942;65,07;119,15
5943;66,32;109,99
5944;70,25;129,66
5945;68,46;135,19
5946;67,32;133,85
5947;69,53;132,61
5948;66,72;111,41
5949;69,04;109,62
5950;67,63;123,35
5951;67,68;130,92
5952;67,20;132,51
5953;68,57;113,38
5954;69,81;124,00
5955;67,27;111,73
5956;70,77;140,69
5957;64,39;112,69
5958;67,32;119,56
5959;68,56;137,74
5960;70,12;128,22
5961;70,50;111,79
5962;67,69;135,83
5963;66,15;123,51
5964;67,04;121,43
5965;67,14;132,78
5966;68,06;131,84
5967;66,40;141,99
5968;68,74;123,07
5969;68,28;129,50
5970;68,49;148,13
5971;69,61;131,63
5972;65,46;118,53
5973;68,43;102,34
5974;66,21;118,14
5975;71,15;137,02
5976;65,50;106,29
5977;70,46;140,26
5978;67,60;123,00
5979;69,30;123,21
5980;65,67;122,23
5981;67,36;117,44
5982;68,47;137,89
5983;69,72;134,32
5984;68,84;117,67
5985;69,19;129,72
5986;68,51;133,21
5987;66,30;113,02
5988;72,15;124,94
5989;68,31;128,73
5990;66,21;99,78
5991;64,60;120,78
5992;70,23;127,13
5993;68,73;144,44
5994;69,49;132,19
5995;67,25;137,75
5996;71,46;141,30
5997;67,74;139,56
5998;68,80;128,23
5999;66,87;119,10
6000;68,47;120,82
6001;64,86;116,46
6002;67,91;139,58
6003;67,84;138,03
6004;69,38;124,89
6005;66,94;127,29
6006;67,45;117,46
6007;69,99;132,82
6008;67,45;123,60
6009;64,09;138,37
6010;66,37;122,97
6011;70,12;122,37
6012;67,34;121,31
6013;70,14;136,34
6014;69,03;123,90
6015;67,02;107,52
6016;64,85;130,19
6017;65,94;109,56
6018;64,69;115,92
6019;62,53;109,57
6020;67,78;124,23
6021;68,27;133,33
6022;65,93;118,48
6023;67,48;120,34
6024;67,80;131,08
6025;70,04;129,98
6026;66,09;121,76
6027;67,87;145,18
6028;65,04;134,05
6029;64,96;105,48
6030;64,82;112,18
6031;70,08;137,16
6032;70,70;142,73
6033;66,80;123,44
6034;67,14;120,86
6035;67,04;135,95
6036;68,48;148,45
6037;72,31;144,88
6038;66,47;139,35
6039;66,82;109,12
6040;70,06;135,37
6041;67,21;113,80
6042;67,12;148,51
6043;68,41;144,88
6044;66,02;114,92
6045;66,84;114,92
6046;68,94;122,80
6047;68,91;133,54
6048;65,59;131,93
6049;65,51;120,66
6050;69,27;145,65
6051;69,57;130,78
6052;67,86;118,84
6053;72,33;133,62
6054;67,21;104,19
6055;68,83;117,46
6056;68,46;145,87
6057;68,17;135,62
6058;69,69;129,13
6059;67,12;149,77
6060;70,36;134,10
6061;71,47;143,93
6062;68,51;132,48
6063;70,06;149,43
6064;68,04;132,59
6065;67,47;133,64
6066;70,56;147,45
6067;67,64;100,02
6068;72,23;140,21
6069;67,45;120,88
6070;66,97;109,38
6071;67,28;136,18
6072;66,02;115,13
6073;64,15;130,08
6074;67,78;131,80
6075;71,05;125,11
6076;68,55;149,00
6077;71,11;129,23
6078;65,22;120,52
6079;67,13;123,21
6080;67,98;117,40
6081;67,45;106,96
6082;67,58;119,64
6083;67,40;134,11
6084;69,75;129,92
6085;67,78;130,15
6086;65,01;106,87
6087;68,98;126,68
6088;67,84;115,74
6089;70,91;130,16
6090;68,44;110,81
6091;63,23;119,83
6092;66,75;113,11
6093;66,13;118,47
6094;66,57;135,68
6095;68,43;111,47
6096;68,12;129,31
6097;65,66;116,99
6098;68,64;128,60
6099;67,01;137,86
6100;66,38;135,48
6101;67,43;112,90
6102;67,02;143,12
6103;70,98;136,92
6104;64,47;113,99
6105;66,48;121,29
6106;68,28;130,43
6107;66,11;133,88
6108;68,73;153,30
6109;67,61;123,35
6110;65,99;105,21
6111;71,79;144,21
6112;69,76;155,98
6113;67,65;111,68
6114;64,82;125,81
6115;68,38;121,50
6116;68,35;129,65
6117;67,56;116,26
6118;67,70;125,32
6119;70,42;165,71
6120;66,27;133,36
6121;68,61;145,47
6122;69,97;135,83
6123;69,38;130,23
6124;63,38;114,02
6125;68,40;117,61
6126;65,89;123,56
6127;66,25;124,98
6128;68,43;131,05
6129;68,43;152,17
6130;67,44;118,62
6131;68,75;112,25
6132;65,87;127,75
6133;67,37;120,43
6134;67,20;104,81
6135;71,72;119,24
6136;68,32;125,83
6137;69,07;131,37
6138;70,39;125,35
6139;68,46;118,33
6140;70,75;129,79
6141;68,25;126,64
6142;69,42;129,03
6143;67,75;134,84
6144;68,78;150,52
6145;68,93;132,45
6146;64,36;131,01
6147;69,45;151,89
6148;68,70;122,53
6149;69,17;127,25
6150;73,32;147,92
6151;69,01;108,82
6152;65,20;127,76
6153;67,65;130,30
6154;68,59;124,46
6155;70,15;159,24
6156;70,35;130,42
6157;67,14;144,18
6158;72,11;136,85
6159;64,54;105,92
6160;68,94;131,88
6161;68,18;129,59
6162;72,69;121,70
6163;68,22;128,31
6164;70,40;130,57
6165;65,32;126,01
6166;65,29;109,78
6167;65,58;109,79
6168;65,28;128,02
6169;69,91;132,37
6170;66,59;127,79
6171;69,24;133,78
6172;68,81;124,22
6173;68,79;122,09
6174;67,19;127,55
6175;68,40;142,39
6176;70,58;135,37
6177;68,40;143,11
6178;70,95;139,01
6179;69,85;120,76
6180;65,61;129,35
6181;65,39;96,54
6182;67,95;128,24
6183;70,05;123,23
6184;68,18;134,92
6185;68,79;116,69
6186;67,36;118,68
6187;70,62;125,73
6188;71,79;158,23
6189;66,53;117,00
6190;65,09;134,39
6191;64,76;128,81
6192;69,03;130,89
6193;65,44;109,92
6194;66,15;110,35
6195;69,55;138,87
6196;64,92;116,11
6197;67,75;122,60
6198;69,05;143,64
6199;64,93;94,59
6200;70,18;130,85
6201;67,72;148,79
6202;67,32;130,68
6203;69,70;151,16
6204;71,38;144,92
6205;67,33;132,61
6206;68,52;120,68
6207;70,20;117,23
6208;66,58;117,08
6209;69,02;131,26
6210;68,78;123,94
6211;69,06;120,06
6212;70,13;126,97
6213;69,71;136,38
6214;69,37;131,25
6215;69,05;132,31
6216;70,05;132,66
6217;68,34;133,09
6218;67,52;121,46
6219;70,07;133,60
6220;68,16;142,04
6221;66,76;133,13
6222;67,39;119,61
6223;69,23;129,44
6224;63,37;121,78
6225;68,52;129,82
6226;66,21;131,21
6227;66,87;136,51
6228;67,37;113,50
6229;66,66;133,44
6230;68,08;133,47
6231;65,97;135,52
6232;65,86;122,34
6233;67,68;124,70
6234;69,12;126,66
6235;71,24;127,27
6236;69,07;125,63
6237;69,07;128,99
6238;65,76;121,76
6239;69,50;142,94
6240;69,21;129,22
6241;66,13;128,90
6242;66,45;109,00
6243;65,43;129,13
6244;68,37;132,00
6245;69,25;126,18
6246;68,55;131,68
6247;69,82;152,91
6248;68,56;135,94
6249;69,89;135,41
6250;67,22;126,99
6251;68,27;151,49
6252;67,70;120,92
6253;68,63;143,90
6254;66,24;148,30
6255;65,92;98,38
6256;68,65;134,65
6257;67,66;91,26
6258;68,15;129,15
6259;63,79;116,38
6260;65,46;128,88
6261;70,75;135,33
6262;66,29;119,84
6263;66,17;132,30
6264;70,22;129,64
6265;68,38;135,78
6266;68,72;119,44
6267;69,03;131,33
6268;69,23;119,51
6269;68,75;142,77
6270;68,70;142,09
6271;67,90;125,30
6272;69,60;146,45
6273;66,80;129,13
6274;65,01;100,54
6275;67,35;131,17
6276;63,03;112,09
6277;68,79;117,09
6278;68,69;132,21
6279;66,37;123,56
6280;68,39;123,91
6281;66,86;123,81
6282;69,64;130,34
6283;68,98;128,71
6284;68,70;131,40
6285;67,06;110,96
6286;67,14;120,86
6287;66,31;127,81
6288;69,67;140,46
6289;66,24;117,55
6290;66,79;138,87
6291;69,97;132,55
6292;68,20;144,96
6293;67,80;141,19
6294;71,49;146,94
6295;71,80;136,96
6296;67,83;137,12
6297;68,34;129,02
6298;69,08;117,02
6299;66,75;141,05
6300;65,40;126,69
6301;65,53;119,85
6302;69,05;111,69
6303;67,79;117,90
6304;71,39;118,74
6305;66,70;131,88
6306;69,67;140,80
6307;69,23;138,69
6308;70,97;143,11
6309;67,65;129,56
6310;65,60;117,75
6311;67,32;135,79
6312;69,52;128,08
6313;67,66;121,56
6314;67,22;130,58
6315;67,13;118,45
6316;67,28;119,47
6317;66,45;116,45
6318;68,42;142,54
6319;67,14;122,87
6320;62,98;113,41
6321;63,66;131,08
6322;65,28;104,50
6323;64,30;106,31
6324;66,10;103,99
6325;65,91;125,85
6326;67,82;125,77
6327;69,87;131,06
6328;66,24;112,86
6329;66,05;121,32
6330;65,53;119,54
6331;67,66;144,14
6332;68,30;119,06
6333;70,74;137,73
6334;67,06;122,42
6335;69,88;145,22
6336;69,24;141,30
6337;68,25;115,46
6338;67,09;138,40
6339;69,06;112,78
6340;68,33;131,49
6341;68,94;134,79
6342;69,59;115,47
6343;71,28;157,54
6344;66,42;127,22
6345;68,63;131,83
6346;66,21;111,21
6347;67,47;116,72
6348;64,51;86,49
6349;67,33;126,96
6350;67,41;125,80
6351;67,89;126,15
6352;65,08;122,47
6353;70,58;139,05
6354;70,26;124,01
6355;68,09;138,60
6356;70,04;133,22
6357;67,15;115,33
6358;67,87;127,58
6359;72,24;144,02
6360;70,21;131,38
6361;68,77;134,01
6362;68,96;122,96
6363;66,95;111,70
6364;69,70;132,06
6365;64,13;93,09
6366;71,56;153,11
6367;68,86;153,63
6368;66,79;127,43
6369;64,54;113,84
6370;70,00;142,74
6371;69,19;145,24
6372;69,09;140,86
6373;67,19;105,43
6374;67,96;105,75
6375;70,02;139,93
6376;66,87;122,60
6377;64,45;131,02
6378;68,24;135,33
6379;70,07;152,84
6380;66,97;113,98
6381;70,36;140,28
6382;68,65;146,45
6383;69,95;141,01
6384;68,48;128,01
6385;71,25;164,55
6386;67,80;130,31
6387;63,58;117,30
6388;67,40;135,30
6389;68,20;128,47
6390;68,89;124,92
6391;66,05;117,83
6392;65,66;123,47
6393;69,39;133,32
6394;65,92;108,86
6395;64,78;102,38
6396;67,59;117,67
6397;71,00;149,24
6398;69,48;121,62
6399;68,48;159,20
6400;68,09;133,63
6401;69,48;122,32
6402;70,50;141,28
6403;69,58;140,05
6404;69,31;124,11
6405;68,39;139,99
6406;62,23;94,80
6407;69,89;148,25
6408;68,06;146,52
6409;69,12;111,10
6410;69,95;126,32
6411;67,93;137,88
6412;69,32;130,04
6413;66,67;141,59
6414;67,96;123,81
6415;69,19;130,94
6416;68,15;114,97
6417;68,03;116,21
6418;68,43;102,85
6419;67,34;103,43
6420;68,64;127,62
6421;64,83;112,73
6422;64,11;111,52
6423;67,52;101,08
6424;66,72;128,67
6425;68,76;132,19
6426;68,50;123,01
6427;67,35;122,89
6428;66,64;123,76
6429;67,11;120,51
6430;67,92;140,01
6431;65,70;116,21
6432;67,65;138,14
6433;68,60;134,19
6434;69,30;130,90
6435;67,10;137,48
6436;65,59;103,92
6437;67,66;139,29
6438;68,63;112,11
6439;64,76;92,20
6440;67,60;120,69
6441;67,31;126,85
6442;66,51;122,81
6443;69,93;135,77
6444;67,60;131,53
6445;65,73;121,01
6446;67,29;118,97
6447;66,84;120,71
6448;67,91;137,01
6449;65,33;109,96
6450;67,10;127,35
6451;66,39;131,24
6452;65,77;118,55
6453;66,08;122,40
6454;67,95;136,86
6455;63,31;113,59
6456;70,10;123,06
6457;69,72;130,31
6458;67,62;118,92
6459;69,23;111,37
6460;67,38;116,00
6461;70,68;146,75
6462;71,42;141,35
6463;68,60;112,71
6464;65,01;120,25
6465;68,22;137,56
6466;66,18;122,28
6467;67,34;122,52
6468;69,86;134,64
6469;68,63;121,50
6470;69,01;130,72
6471;68,57;116,80
6472;70,02;135,12
6473;67,86;130,84
6474;67,07;128,63
6475;67,25;121,63
6476;68,45;138,11
6477;66,08;110,82
6478;65,59;104,74
6479;68,56;118,89
6480;69,69;143,23
6481;66,67;108,38
6482;61,59;99,81
6483;65,40;114,18
6484;68,44;127,57
6485;66,73;118,42
6486;72,20;154,26
6487;68,46;121,75
6488;70,10;142,47
6489;66,48;112,26
6490;67,19;121,40
6491;65,22;121,37
6492;67,00;127,19
6493;67,72;107,61
6494;70,09;152,42
6495;66,07;128,14
6496;66,91;146,04
6497;68,65;117,66
6498;67,75;135,48
6499;66,36;131,49
6500;67,62;127,83
6501;68,21;123,40
6502;67,57;136,82
6503;67,02;137,78
6504;67,57;141,60
6505;65,65;109,40
6506;65,44;102,50
6507;70,32;163,89
6508;69,08;118,90
6509;68,33;126,76
6510;66,29;134,60
6511;68,16;120,86
6512;66,04;136,25
6513;70,48;147,50
6514;66,67;125,52
6515;66,65;115,38
6516;69,63;140,87
6517;67,68;108,07
6518;66,58;98,00
6519;68,34;119,28
6520;68,92;112,41
6521;68,53;146,05
6522;71,38;133,38
6523;70,11;152,47
6524;66,25;130,28
6525;69,53;155,40
6526;67,46;139,81
6527;66,51;119,17
6528;69,92;138,28
6529;67,79;107,29
6530;66,83;108,35
6531;70,99;117,95
6532;66,68;130,01
6533;65,32;105,66
6534;67,35;115,05
6535;64,04;103,68
6536;67,25;117,08
6537;70,83;129,51
6538;69,21;129,19
6539;65,91;119,20
6540;68,89;128,36
6541;68,63;133,21
6542;65,36;121,34
6543;66,25;109,86
6544;69,18;130,57
6545;69,53;118,92
6546;66,66;122,24
6547;69,35;131,55
6548;65,99;103,70
6549;67,55;134,44
6550;65,95;130,16
6551;69,74;109,41
6552;68,13;120,44
6553;64,53;114,97
6554;65,95;132,64
6555;70,27;120,32
6556;68,30;132,97
6557;69,93;136,79
6558;68,76;128,79
6559;68,68;142,86
6560;68,32;133,13
6561;68,04;143,29
6562;67,95;117,06
6563;65,71;118,34
6564;72,12;124,35
6565;66,79;118,72
6566;67,49;123,58
6567;66,88;126,75
6568;68,25;137,68
6569;66,62;130,50
6570;64,15;113,98
6571;65,30;110,90
6572;71,83;146,37
6573;68,43;128,23
6574;64,79;115,60
6575;69,24;129,40
6576;70,28;125,65
6577;72,99;126,89
6578;70,41;131,32
6579;65,79;132,50
6580;69,49;129,37
6581;65,87;110,50
6582;65,08;106,23
6583;70,61;129,59
6584;71,39;131,91
6585;66,29;122,94
6586;65,64;121,45
6587;69,78;138,34
6588;68,32;135,24
6589;69,02;100,88
6590;68,87;122,26
6591;66,79;119,07
6592;68,62;139,79
6593;71,19;136,20
6594;65,41;122,38
6595;68,84;134,26
6596;68,88;123,12
6597;65,73;127,64
6598;69,30;131,75
6599;64,15;114,27
6600;72,89;133,76
6601;66,41;142,66
6602;65,88;119,29
6603;69,06;131,96
6604;67,96;125,96
6605;68,68;131,32
6606;68,51;118,99
6607;67,37;127,93
6608;63,67;114,33
6609;65,76;123,81
6610;68,71;137,04
6611;69,62;119,38
6612;66,81;107,87
6613;64,54;123,30
6614;68,37;116,94
6615;67,70;120,46
6616;69,79;107,12
6617;70,33;134,12
6618;71,11;142,35
6619;70,50;131,86
6620;67,32;117,87
6621;70,37;134,27
6622;68,93;136,64
6623;68,74;139,47
6624;66,31;126,78
6625;67,96;137,76
6626;68,02;125,71
6627;68,54;134,62
6628;73,72;142,81
6629;66,30;124,86
6630;69,84;134,23
6631;66,34;112,64
6632;69,22;120,57
6633;65,20;126,63
6634;68,16;122,27
6635;66,17;114,68
6636;65,82;137,78
6637;70,49;122,79
6638;66,86;129,06
6639;69,00;121,80
6640;69,09;139,86
6641;68,48;137,69
6642;70,05;124,64
6643;63,92;136,32
6644;69,10;124,93
6645;68,37;124,56
6646;67,81;147,84
6647;68,35;121,06
6648;66,20;134,31
6649;69,82;145,86
6650;69,83;128,65
6651;70,09;148,30
6652;65,74;118,52
6653;67,24;121,13
6654;67,01;106,32
6655;67,86;142,52
6656;69,51;143,27
6657;68,79;119,97
6658;71,30;142,10
6659;68,74;130,40
6660;68,21;129,42
6661;72,86;128,48
6662;67,82;113,06
6663;65,20;116,40
6664;64,55;115,45
6665;68,46;121,78
6666;66,08;114,14
6667;66,53;109,26
6668;66,75;102,65
6669;68,20;130,90
6670;69,60;141,84
6671;65,68;138,00
6672;66,51;122,47
6673;63,30;120,17
6674;67,19;115,37
6675;64,59;115,13
6676;67,61;134,65
6677;69,54;123,53
6678;72,49;133,28
6679;68,60;135,22
6680;68,26;118,07
6681;66,51;125,05
6682;66,74;134,23
6683;68,57;126,55
6684;68,15;118,18
6685;67,67;116,68
6686;69,25;149,05
6687;67,63;122,74
6688;70,55;128,83
6689;66,51;122,16
6690;70,06;134,28
6691;68,95;140,89
6692;67,76;115,74
6693;66,16;122,78
6694;70,23;148,67
6695;66,85;128,17
6696;69,98;135,26
6697;69,57;129,37
6698;67,82;113,76
6699;66,16;118,18
6700;64,97;119,72
6701;66,75;111,07
6702;67,03;122,62
6703;70,78;149,44
6704;69,08;127,25
6705;66,56;140,51
6706;65,65;103,66
6707;69,91;129,14
6708;68,10;143,84
6709;65,21;115,48
6710;65,92;131,18
6711;66,78;134,20
6712;66,63;137,85
6713;70,11;136,24
6714;71,87;145,38
6715;69,37;143,84
6716;67,09;120,59
6717;68,90;122,85
6718;67,59;124,49
6719;69,73;107,36
6720;66,47;136,42
6721;68,96;149,07
6722;69,18;137,18
6723;69,12;137,31
6724;67,06;139,61
6725;66,43;116,70
6726;68,03;133,74
6727;70,66;134,29
6728;66,95;118,33
6729;71,13;144,48
6730;64,10;120,61
6731;69,43;145,16
6732;67,23;113,22
6733;70,20;112,75
6734;65,73;123,18
6735;66,55;121,93
6736;67,72;119,41
6737;71,22;132,96
6738;64,72;127,40
6739;67,36;122,38
6740;68,42;132,22
6741;69,81;124,39
6742;70,14;111,39
6743;66,31;123,18
6744;67,25;103,60
6745;66,24;123,54
6746;67,13;142,10
6747;68,44;129,79
6748;72,07;136,44
6749;68,48;120,69
6750;67,12;122,39
6751;67,94;138,19
6752;68,01;119,88
6753;67,83;110,69
6754;67,08;131,65
6755;66,13;125,30
6756;70,17;138,51
6757;73,12;139,26
6758;66,29;132,41
6759;67,48;128,38
6760;63,84;127,66
6761;71,23;137,91
6762;68,93;131,20
6763;65,31;126,54
6764;72,89;144,86
6765;66,85;123,49
6766;67,71;129,74
6767;66,99;145,33
6768;62,48;115,28
6769;68,45;119,95
6770;66,18;112,15
6771;68,29;127,83
6772;68,59;137,63
6773;68,13;121,92
6774;70,55;131,99
6775;71,26;135,85
6776;70,71;133,30
6777;68,27;123,07
6778;65,85;125,70
6779;67,19;130,97
6780;69,03;143,71
6781;70,96;138,16
6782;68,99;146,72
6783;66,75;133,15
6784;67,73;123,51
6785;68,31;129,24
6786;66,24;121,90
6787;68,70;128,40
6788;68,03;140,93
6789;68,96;137,34
6790;67,50;129,53
6791;65,02;131,02
6792;70,06;146,32
6793;65,36;97,06
6794;66,73;119,85
6795;68,25;124,11
6796;68,91;144,96
6797;69,42;117,07
6798;69,11;126,78
6799;67,99;112,96
6800;70,26;141,58
6801;68,64;124,02
6802;66,17;125,54
6803;70,00;122,17
6804;66,31;118,29
6805;65,90;116,55
6806;68,25;116,50
6807;70,75;147,47
6808;67,08;131,78
6809;67,02;132,28
6810;70,51;134,38
6811;67,60;119,85
6812;68,83;136,16
6813;64,25;114,50
6814;71,91;138,22
6815;67,82;133,21
6816;66,34;126,53
6817;69,22;129,86
6818;65,53;122,70
6819;66,65;111,86
6820;69,74;128,28
6821;68,77;120,57
6822;67,66;122,10
6823;71,04;145,65
6824;67,97;116,15
6825;69,01;137,42
6826;70,97;137,89
6827;66,09;114,83
6828;68,20;136,36
6829;71,18;148,78
6830;70,10;118,71
6831;67,40;118,35
6832;71,04;152,54
6833;69,10;128,96
6834;66,99;124,54
6835;67,55;118,07
6836;66,04;100,35
6837;69,97;120,84
6838;69,59;136,36
6839;69,50;129,32
6840;66,70;129,91
6841;67,74;116,26
6842;69,52;137,59
6843;68,65;106,97
6844;66,58;118,78
6845;67,31;127,02
6846;69,21;135,76
6847;69,76;127,81
6848;71,36;127,96
6849;64,91;121,46
6850;65,91;100,23
6851;68,79;115,62
6852;66,86;124,09
6853;68,85;124,22
6854;64,99;112,21
6855;70,31;132,54
6856;65,07;107,15
6857;68,55;119,83
6858;65,03;123,52
6859;68,97;134,45
6860;68,16;125,51
6861;70,25;133,53
6862;68,35;133,31
6863;71,59;144,31
6864;67,62;140,84
6865;71,91;147,59
6866;64,91;114,75
6867;68,03;117,76
6868;68,83;140,79
6869;68,42;134,28
6870;67,19;110,21
6871;67,95;107,31
6872;69,13;122,88
6873;66,53;118,25
6874;69,33;125,89
6875;69,66;127,48
6876;69,32;153,32
6877;71,67;124,59
6878;66,81;106,85
6879;67,96;133,70
6880;70,27;124,66
6881;70,83;132,05
6882;71,95;138,08
6883;65,53;130,37
6884;67,20;118,17
6885;66,84;134,82
6886;72,22;123,72
6887;68,23;128,96
6888;69,34;151,06
6889;67,54;126,64
6890;66,55;114,86
6891;69,42;133,67
6892;68,77;137,16
6893;67,11;139,56
6894;69,72;127,77
6895;69,71;119,20
6896;67,00;131,52
6897;70,23;124,14
6898;68,05;140,96
6899;66,81;111,67
6900;64,33;131,63
6901;69,21;133,70
6902;70,30;133,06
6903;67,76;115,59
6904;68,28;127,74
6905;70,67;136,77
6906;67,56;135,11
6907;68,20;117,42
6908;70,82;128,39
6909;68,76;124,64
6910;66,21;140,42
6911;69,94;129,95
6912;66,82;116,14
6913;70,62;138,84
6914;65,96;131,91
6915;68,32;120,17
6916;68,14;117,96
6917;67,68;132,22
6918;62,29;100,38
6919;66,56;112,85
6920;67,53;127,34
6921;69,97;128,03
6922;71,62;148,26
6923;68,87;118,69
6924;68,90;125,11
6925;68,48;126,94
6926;64,49;116,08
6927;68,05;130,15
6928;70,97;128,68
6929;67,73;124,80
6930;64,42;122,37
6931;66,89;121,66
6932;72,00;126,21
6933;67,80;127,30
6934;70,31;133,38
6935;69,62;136,39
6936;68,90;112,00
6937;71,01;146,13
6938;69,03;126,09
6939;64,16;100,77
6940;67,46;132,10
6941;66,31;142,74
6942;61,40;119,26
6943;69,07;123,56
6944;69,04;129,27
6945;65,63;130,04
6946;68,98;146,82
6947;67,08;102,01
6948;66,96;122,33
6949;64,88;113,47
6950;70,18;134,57
6951;70,24;136,68
6952;68,65;127,65
6953;66,65;112,91
6954;70,81;139,85
6955;62,86;100,89
6956;70,19;134,00
6957;67,74;134,18
6958;67,78;124,29
6959;66,81;113,83
6960;70,47;126,84
6961;67,28;138,46
6962;67,63;135,82
6963;69,54;134,13
6964;72,09;147,17
6965;69,40;124,70
6966;66,90;128,63
6967;64,77;126,60
6968;67,71;117,60
6969;67,98;131,29
6970;67,39;130,27
6971;66,59;123,93
6972;66,03;111,12
6973;71,32;150,93
6974;70,89;138,53
6975;69,29;123,65
6976;72,50;135,42
6977;66,39;131,71
6978;70,22;148,99
6979;70,61;129,81
6980;67,43;113,74
6981;67,08;142,88
6982;69,52;133,24
6983;64,80;123,53
6984;69,50;131,33
6985;68,89;138,70
6986;69,82;121,56
6987;66,19;134,95
6988;67,74;107,97
6989;66,53;122,50
6990;67,32;140,58
6991;65,01;113,42
6992;68,85;115,12
6993;67,21;126,90
6994;68,82;122,08
6995;68,38;117,69
6996;67,59;112,41
6997;67,82;110,73
6998;67,83;134,70
6999;66,31;124,51
7000;66,99;100,16
7001;66,87;122,56
7002;68,38;139,53
7003;66,47;123,50
7004;68,55;137,43
7005;67,83;131,44
7006;70,39;148,33
7007;67,58;127,56
7008;65,26;107,73
7009;66,74;119,54
7010;68,93;135,93
7011;66,45;129,67
7012;67,80;138,33
7013;65,55;111,19
7014;66,09;109,71
7015;67,50;138,76
7016;68,11;117,89
7017;67,24;118,43
7018;66,54;139,47
7019;71,02;140,13
7020;68,32;106,93
7021;69,95;123,15
7022;68,32;130,25
7023;69,12;127,09
7024;66,52;141,21
7025;66,54;106,52
7026;68,83;135,23
7027;69,46;116,23
7028;63,84;107,25
7029;67,36;125,24
7030;66,46;126,74
7031;68,00;124,78
7032;66,55;130,30
7033;67,93;129,08
7034;71,09;136,35
7035;71,90;127,31
7036;66,45;115,55
7037;66,28;122,66
7038;67,60;121,16
7039;66,90;123,38
7040;66,93;138,10
7041;68,73;142,06
7042;69,22;140,78
7043;67,50;118,14
7044;68,37;116,99
7045;65,04;134,18
7046;67,64;128,86
7047;66,68;127,99
7048;68,92;110,61
7049;68,29;147,28
7050;69,50;124,41
7051;71,31;154,09
7052;68,43;138,71
7053;67,13;118,21
7054;71,65;129,98
7055;65,08;108,65
7056;65,93;121,51
7057;69,09;131,80
7058;67,26;122,30
7059;64,38;117,68
7060;66,66;123,16
7061;69,12;128,19
7062;68,00;120,51
7063;66,01;132,61
7064;69,06;153,80
7065;65,36;114,79
7066;68,56;120,86
7067;64,96;110,80
7068;68,04;116,86
7069;68,55;140,40
7070;68,99;118,01
7071;66,53;116,87
7072;65,54;99,65
